Fecha;Tipo;ISIN;Cantidad;Precio;Moneda;Comision
05/01/2024;Compra;IE00B4L5Y983;10;80.00;EUR;1.00
10/02/2024;Compra;IE00B4L5Y983;5;82.50;EUR;1.00
15/02/2024;Dividendo;IE00B4L5Y983;15;0.35;EUR;0.00
01/03/2024;Compra;IE00B4L5Y983;0.25;84.00;EUR;0.00
10/04/2024;Venta;IE00B4L5Y983;8;90.00;EUR;1.00
20/05/2024;Compra;IE00B4L5Y983;3;88.00;EUR;1.00
15/06/2024;Venta;IE00B4L5Y983;2;95.00;EUR;1.00
01/07/2024;Compra;IE00B4L5Y983;1.5;91.00;EUR;0.00
10/08/2024;Venta;IE00B4L5Y983;4.70;93.00;EUR;1.00
20/09/2024;Compra;IE00B4L5Y983;2;89.00;EUR;1.00
