fecha,isin,valor,tipo,cantidad,precio,divisa,comision_eur,cambio_aplicado_por_tr
10/01/2024,US0378331005,Apple Inc,compra,5.5,185.20,USD,1.00,1.0942
15/03/2024,US0378331005,Apple Inc,venta,2,170.00,USD,1.00,1.0887
19/04/2024,US0378331005,Apple Inc,compra,1.2,165.00,USD,0.00,1.0652
09/02/2024,IE00BK5BQT80,Vanguard FTSE All-World,compra,0.0810,106.90,EUR,0.00,1.0000
08/03/2024,IE00BK5BQT80,Vanguard FTSE All-World,compra,0.0790,109.20,EUR,0.00,1.0000
08/04/2024,IE00BK5BQT80,Vanguard FTSE All-World,compra,0.0805,108.10,EUR,0.00,1.0000
08/05/2024,IE00BK5BQT80,Vanguard FTSE All-World,compra,0.0770,111.30,EUR,0.00,1.0000
10/06/2024,IE00BK5BQT80,Vanguard FTSE All-World,compra,0.0755,113.50,EUR,0.00,1.0000
15/07/2024,IE00BK5BQT80,Vanguard FTSE All-World,venta,0.35,112.00,EUR,1.00,1.0000
05/02/2024,IE00B4L5Y983,iShares Core MSCI World,compra,3.333,82.15,EUR,1.00,1.0000
19/08/2024,IE00B4L5Y983,iShares Core MSCI World,compra,2.0,84.00,EUR,1.00,1.0000
12/06/2024,GB0031348658,Barclays PLC,compra,40,2.15,GBP,1.00,0.8471
30/12/2024,GB0031348658,Barclays PLC,venta,15,1.95,GBP,1.00,0.8305
18/08/2024,US5949181045,Microsoft Corp,compra,0.9,415.00,USD,0.00,1.1035
