Fecha;Tipo;ISIN;Cantidad;Precio;Moneda;Comision
10/09/2024;Venta;LU1681043599;20;52.50;EUR;1.00
10/01/2024;Compra;IE00B4L5Y983;12;85.00;EUR;1.00
20/11/2024;Venta;ES0113900J37;100;3.20;EUR;1.00
02/02/2024;Compra;LU1681043599;20;45.00;EUR;0.00
12/04/2024;Venta;IE00B4L5Y983;15;98.00;EUR;1.00
05/12/2024;Compra;IE00B4L5Y983;5;79.00;EUR;0.00
08/03/2024;Compra;ES0113900J37;100;3.80;EUR;1.00
25/07/2024;Compra;IE00B4L5Y983;3;78.00;EUR;1.00
15/05/2024;Dividendo;LU1681043599;20;0.40;EUR;0.00
05/03/2024;Compra;IE00B4L5Y983;8;92.00;EUR;0.00
20/06/2024;Venta;IE00B4L5Y983;5;80.00;EUR;0.00
