Date;Type;ISIN;Quantity;Price;Currency;Fee
2024-01-15T09:31:22Z;Kauf;DE0007100000;10;120.00;EUR;1.00
2024-02-20T14:05:00Z;Kauf;DE0007100000;5;125.00;EUR;1.00
2024-03-10T10:00:00Z;Interest;DE0007100000;0;0;EUR;0
2024-04-01T08:00:00Z;Verkauf;DE0007100000;-8;130.00;EUR;1.00
2024-04-15T12:00:00Z;Fee;DE0007100000;0;0;EUR;5.00
2024-05-01T09:00:00Z;Dividende;DE0007100000;10;0.80;EUR;0
2024-05-20T11:00:00Z;Saveback;DE0007100000;1;0;EUR;0
2024-06-01T10:00:00Z;Verkauf;DE0007100000;-4;135.00;EUR;1.00
2024-06-15T09:00:00Z;Round up;DE0007100000;0.001;0;EUR;0
2024-07-01T09:00:00Z;Cancelled;DE0007100000;5;130.00;EUR;0
2024-08-01T09:00:00Z;Kauf;DE0007100000;3;140.00;EUR;1.00
